run,judge_model,language,dimension,n_protocols,best_protocol,best_protocol_name,best_auroc,best_spearman,worst_protocol,worst_protocol_name,worst_auroc,worst_spearman,auroc_range,spearman_range,max_mean_abs_score_shift,n_significant_auroc_pairs,has_significant_auroc_pair,largest_abs_auroc_delta,largest_auroc_delta_b_minus_a,largest_auroc_delta_pair,best_is_direct,best_is_pivot,pivot_is_worst,has_pivot
wmt ref-free n30,gpt-4o-mini,zh-en,translation_quality_ref_free,2,P0_direct_english,Direct English rubric,0.82,0.5953667260282005,P2_explicit_pivot,Explicit English pivot,0.6,0.1874999999999999,0.21999999999999997,0.4078667260282006,0.7,1,True,0.2199999999999999,-0.2199999999999999,P2_explicit_pivot minus P0_direct_english,True,False,True,True
candidate audit n25,gpt-4.1-mini,en-US,comprehensibility,4,P2_explicit_pivot,Explicit English pivot,0.8621794871794872,0.649018973804459,P1_target_rubric,Target-language rubric,0.7467948717948718,0.4363632397855295,0.11538461538461542,0.21265573401892957,0.56,3,True,0.1153846153846154,0.1153846153846154,P2_explicit_pivot minus P1_target_rubric,False,True,False,True
candidate audit n25,gpt-4.1-mini,en-US,grammar,4,P0_direct_english,Direct English rubric,0.8461538461538461,0.6445033866354896,P3_bilingual,Bilingual rubric,0.6762820512820513,0.346487233427999,0.16987179487179482,0.2980161532074906,0.28,3,True,0.1698717948717948,-0.1698717948717948,P3_bilingual minus P0_direct_english,True,False,False,True
candidate audit n25,gpt-4.1-mini,es-ES,comprehensibility,4,P0_direct_english,Direct English rubric,0.907051282051282,0.7384519731655377,P2_explicit_pivot,Explicit English pivot,0.7532051282051282,0.4617940948247173,0.15384615384615385,0.2766578783408204,0.8,0,False,0.1538461538461538,-0.1538461538461538,P2_explicit_pivot minus P0_direct_english,True,False,True,True
candidate audit n25,gpt-4.1-mini,es-ES,grammar,4,P2_explicit_pivot,Explicit English pivot,0.657051282051282,0.2882169445571997,P0_direct_english,Direct English rubric,0.5641025641025641,0.1304314294052203,0.09294871794871795,0.15778551515197942,0.92,0,False,0.0929487179487179,0.0929487179487179,P2_explicit_pivot minus P0_direct_english,False,True,False,True
candidate audit n25,gpt-4.1-mini,tr,comprehensibility,4,P3_bilingual,Bilingual rubric,0.9455128205128204,0.7960599483557741,P2_explicit_pivot,Explicit English pivot,0.592948717948718,0.168445300211353,0.3525641025641024,0.6276146481444211,1.16,3,True,0.3525641025641025,0.3525641025641025,P3_bilingual minus P2_explicit_pivot,False,False,True,True
candidate audit n25,gpt-4.1-mini,tr,grammar,4,P1_target_rubric,Target-language rubric,0.5512820512820513,0.0939495335305675,P0_direct_english,Direct English rubric,0.4487179487179487,-0.0935079823281842,0.10256410256410264,0.1874575158587517,0.84,0,False,0.1025641025641025,0.1025641025641025,P1_target_rubric minus P0_direct_english,False,False,False,True
candidate audit n25,gpt-4.1-mini,vi,comprehensibility,4,P1_target_rubric,Target-language rubric,0.8076923076923077,0.554700196225229,P2_explicit_pivot,Explicit English pivot,0.6153846153846154,0.2073655655673971,0.1923076923076923,0.34733463065783193,0.96,0,False,0.1923076923076923,-0.1923076923076923,P2_explicit_pivot minus P1_target_rubric,False,False,True,True
candidate audit n25,gpt-4.1-mini,vi,grammar,4,P0_direct_english,Direct English rubric,0.8141025641025641,0.5637952184510965,P2_explicit_pivot,Explicit English pivot,0.4711538461538461,-0.0517664218784502,0.342948717948718,0.6155616403295466,0.84,3,True,0.3429487179487179,-0.3429487179487179,P2_explicit_pivot minus P0_direct_english,True,False,True,True
wmt ref-free audit,gpt-4.1-mini,zh-en,translation_quality_ref_free,2,P0_direct_english,Direct English rubric,0.7733333333333333,0.5027112659250815,P2_explicit_pivot,Explicit English pivot,0.6355555555555555,0.2544982606324177,0.13777777777777778,0.24821300529266382,0.6666666666666666,0,False,0.1377777777777777,-0.1377777777777777,P2_explicit_pivot minus P0_direct_english,True,False,True,True
wmt ref-free audit,gpt-4.1-mini,en-de,translation_quality_ref_free,2,P2_explicit_pivot,Explicit English pivot,0.7844444444444445,0.5634885800483993,P3_bilingual,Bilingual rubric,0.76,0.5032781794346813,0.02444444444444449,0.06021040061371796,0.2,0,False,0.0244444444444444,-0.0244444444444444,P3_bilingual minus P2_explicit_pivot,False,True,False,True
