judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4o-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,test,34,0.3,4,3,0.625,0.6764705882352942,0.5882352941176471,-0.08823529411764708,0.6764705882352942,0.5882352941176471,-0.08823529411764708,0.6206896551724139,0.6666666666666666,0.045977011494252706
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,4,0.6875,0.6875,0.6875,0.0,0.6875,0.6875,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,test,34,0.3,4,4,0.6875,0.5,0.5,0.0,0.5,0.5,0.0,0.2608695652173913,0.2608695652173913,0.0
gpt-4o-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,3,0.75,0.5625,0.75,0.1875,0.5625,0.75,0.1875,0.4615384615384615,0.7777777777777777,0.31623931623931617
gpt-4o-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,3,0.75,0.5,0.5,0.0,0.5,0.5,0.0,0.41379310344827586,0.5405405405405405,0.1267474370922646
gpt-4o-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,3,0.6875,0.625,0.6875,0.0625,0.625,0.6875,0.0625,0.625,0.7058823529411765,0.08088235294117652
gpt-4o-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,test,34,0.3,4,3,0.6875,0.7058823529411765,0.6470588235294118,-0.05882352941176472,0.7058823529411764,0.6470588235294118,-0.05882352941176461,0.7222222222222222,0.7272727272727272,0.005050505050504972
gpt-4o-mini,vi,grammar,P0_direct_english,Direct English rubric,calibration,16,0.3,4,4,0.5625,0.5625,0.5625,0.0,0.5625,0.5625,0.0,0.5882352941176471,0.5882352941176471,0.0
gpt-4o-mini,vi,grammar,P0_direct_english,Direct English rubric,test,34,0.3,4,4,0.5625,0.6176470588235294,0.6176470588235294,0.0,0.6176470588235294,0.6176470588235294,0.0,0.6666666666666667,0.6666666666666667,0.0
gpt-4o-mini,vi,grammar,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,4,0.5625,0.5625,0.5625,0.0,0.5625,0.5625,0.0,0.2222222222222222,0.2222222222222222,0.0
gpt-4o-mini,vi,grammar,P1_target_rubric,Target-language rubric,test,34,0.3,4,4,0.5625,0.5882352941176471,0.5882352941176471,0.0,0.5882352941176471,0.5882352941176471,0.0,0.3636363636363636,0.3636363636363636,0.0
gpt-4o-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,2,0.625,0.4375,0.625,0.1875,0.4375,0.625,0.1875,0.5263157894736842,0.7272727272727273,0.2009569377990431
gpt-4o-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,2,0.625,0.4117647058823529,0.4117647058823529,0.0,0.4117647058823529,0.4117647058823529,0.0,0.5,0.5833333333333333,0.08333333333333326
gpt-4o-mini,vi,grammar,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,5,0.5625,0.4375,0.5625,0.125,0.4375,0.5625,0.125,0.5714285714285714,0.2222222222222222,-0.3492063492063492
gpt-4o-mini,vi,grammar,P3_bilingual,Bilingual rubric,test,34,0.3,4,5,0.5625,0.5588235294117647,0.5882352941176471,0.02941176470588236,0.5588235294117647,0.5882352941176471,0.02941176470588236,0.5945945945945946,0.3,-0.29459459459459464
