run,judge_model,language,dimension,protocol,k_per_class,n_calibration,n_test,repeat,baseline_threshold,selected_threshold,full_group_baseline_balanced_accuracy,test_baseline_balanced_accuracy,test_calibrated_balanced_accuracy,delta_balanced_accuracy
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,39,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,40,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,41,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,42,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,43,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,44,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,45,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,46,4,2,0.8400000000000001,0.8541666666666666,0.6458333333333334,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,47,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,48,4,2,0.8400000000000001,0.8541666666666666,0.6458333333333334,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,49,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,0,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,1,4,3,0.8400000000000001,0.8478260869565217,0.8043478260869565,-0.04347826086956519
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,2,4,3,0.8400000000000001,0.8478260869565217,0.826086956521739,-0.021739130434782705
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,3,4,3,0.8400000000000001,0.8478260869565217,0.8043478260869565,-0.04347826086956519
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,4,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,5,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,6,4,2,0.8400000000000001,0.8695652173913044,0.6304347826086957,-0.23913043478260876
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,7,4,3,0.8400000000000001,0.8478260869565217,0.826086956521739,-0.021739130434782705
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,8,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,9,4,3,0.8400000000000001,0.8478260869565217,0.826086956521739,-0.021739130434782705
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,10,4,3,0.8400000000000001,0.8478260869565217,0.826086956521739,-0.021739130434782705
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,11,4,3,0.8400000000000001,0.8695652173913044,0.826086956521739,-0.04347826086956541
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,12,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,13,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,14,4,3,0.8400000000000001,0.8695652173913044,0.826086956521739,-0.04347826086956541
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,15,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,16,4,3,0.8400000000000001,0.8478260869565217,0.8043478260869565,-0.04347826086956519
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,17,4,2,0.8400000000000001,0.8695652173913043,0.6304347826086957,-0.23913043478260865
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,18,4,2,0.8400000000000001,0.8478260869565217,0.6304347826086957,-0.21739130434782605
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,19,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,20,4,5,0.8400000000000001,0.8478260869565217,0.5869565217391304,-0.26086956521739135
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,21,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,22,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,23,4,3,0.8400000000000001,0.8478260869565217,0.8260869565217391,-0.021739130434782594
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,24,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,25,4,3,0.8400000000000001,0.8478260869565217,0.8043478260869565,-0.04347826086956519
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,26,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,27,4,3,0.8400000000000001,0.8478260869565217,0.826086956521739,-0.021739130434782705
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,28,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,29,4,2,0.8400000000000001,0.8478260869565217,0.6304347826086957,-0.21739130434782605
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,30,4,2,0.8400000000000001,0.8478260869565217,0.6304347826086957,-0.21739130434782605
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,31,4,2,0.8400000000000001,0.8478260869565217,0.6304347826086957,-0.21739130434782605
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,32,4,2,0.8400000000000001,0.8478260869565217,0.6304347826086957,-0.21739130434782605
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,33,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,34,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,35,4,4,0.8400000000000001,0.8478260869565217,0.8478260869565217,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,36,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,37,4,3,0.8400000000000001,0.8478260869565217,0.826086956521739,-0.021739130434782705
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,38,4,5,0.8400000000000001,0.8695652173913044,0.6086956521739131,-0.26086956521739135
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,39,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,40,4,2,0.8400000000000001,0.8695652173913044,0.6304347826086957,-0.23913043478260876
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,41,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,42,4,2,0.8400000000000001,0.8478260869565217,0.6304347826086957,-0.21739130434782605
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,43,4,2,0.8400000000000001,0.826086956521739,0.6086956521739131,-0.21739130434782594
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,44,4,3,0.8400000000000001,0.8478260869565217,0.8043478260869565,-0.04347826086956519
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,45,4,2,0.8400000000000001,0.8695652173913044,0.6304347826086957,-0.23913043478260876
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,46,4,2,0.8400000000000001,0.8695652173913043,0.6304347826086957,-0.23913043478260865
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,47,4,3,0.8400000000000001,0.826086956521739,0.8043478260869565,-0.021739130434782483
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,48,4,3,0.8400000000000001,0.8478260869565217,0.8260869565217391,-0.021739130434782594
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,2,4,46,49,4,4,0.8400000000000001,0.826086956521739,0.826086956521739,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,0,4,3,0.8400000000000001,0.9047619047619048,0.8333333333333333,-0.07142857142857151
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,1,4,4,0.8400000000000001,0.8095238095238095,0.8095238095238095,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,2,4,3,0.8400000000000001,0.8571428571428572,0.8095238095238095,-0.04761904761904767
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,3,4,3,0.8400000000000001,0.8571428571428571,0.8095238095238095,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,4,4,3,0.8400000000000001,0.8571428571428571,0.8095238095238095,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,5,4,2,0.8400000000000001,0.8333333333333333,0.5952380952380952,-0.23809523809523803
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,6,4,3,0.8400000000000001,0.8095238095238095,0.7857142857142857,-0.023809523809523836
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,7,4,3,0.8400000000000001,0.8333333333333333,0.8095238095238095,-0.023809523809523725
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,8,4,3,0.8400000000000001,0.8333333333333333,0.7857142857142857,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,9,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,10,4,2,0.8400000000000001,0.8809523809523809,0.6428571428571428,-0.23809523809523814
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,11,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,12,4,4,0.8400000000000001,0.8571428571428572,0.8571428571428572,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,13,4,3,0.8400000000000001,0.8809523809523809,0.8333333333333333,-0.04761904761904767
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,14,4,3,0.8400000000000001,0.8571428571428572,0.8333333333333333,-0.023809523809523947
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,15,4,3,0.8400000000000001,0.8333333333333333,0.8095238095238095,-0.023809523809523725
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,16,4,3,0.8400000000000001,0.8809523809523809,0.7857142857142857,-0.09523809523809523
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,17,4,3,0.8400000000000001,0.8095238095238095,0.7857142857142857,-0.023809523809523836
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,18,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,19,4,3,0.8400000000000001,0.8333333333333333,0.7857142857142857,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,20,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,21,4,4,0.8400000000000001,0.8095238095238095,0.8095238095238095,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,22,4,2,0.8400000000000001,0.8571428571428572,0.5952380952380952,-0.261904761904762
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,23,4,3,0.8400000000000001,0.8333333333333333,0.8095238095238095,-0.023809523809523725
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,24,4,4,0.8400000000000001,0.8095238095238095,0.8095238095238095,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,25,4,3,0.8400000000000001,0.8571428571428572,0.7857142857142857,-0.07142857142857151
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,26,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,27,4,3,0.8400000000000001,0.8809523809523809,0.8095238095238095,-0.0714285714285714
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,28,4,4,0.8400000000000001,0.8095238095238095,0.8095238095238095,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,29,4,3,0.8400000000000001,0.8809523809523809,0.8333333333333333,-0.04761904761904767
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,30,4,3,0.8400000000000001,0.8333333333333333,0.7857142857142857,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,31,4,3,0.8400000000000001,0.8571428571428572,0.8333333333333333,-0.023809523809523947
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,32,4,3,0.8400000000000001,0.8809523809523809,0.8095238095238095,-0.0714285714285714
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,33,4,3,0.8400000000000001,0.8571428571428572,0.8095238095238095,-0.04761904761904767
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,34,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,35,4,2,0.8400000000000001,0.8809523809523809,0.6428571428571428,-0.23809523809523814
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,36,4,3,0.8400000000000001,0.8571428571428572,0.7857142857142857,-0.07142857142857151
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,37,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,38,4,3,0.8400000000000001,0.8809523809523809,0.8333333333333333,-0.04761904761904767
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,39,4,3,0.8400000000000001,0.8571428571428571,0.8095238095238095,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,40,4,3,0.8400000000000001,0.8095238095238095,0.7857142857142857,-0.023809523809523836
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,41,4,3,0.8400000000000001,0.8333333333333333,0.7857142857142857,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,42,4,4,0.8400000000000001,0.8571428571428571,0.8571428571428571,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,43,4,5,0.8400000000000001,0.8809523809523809,0.5952380952380952,-0.2857142857142857
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,44,4,3,0.8400000000000001,0.8809523809523809,0.8333333333333333,-0.04761904761904767
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,45,4,3,0.8400000000000001,0.8333333333333333,0.7857142857142857,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,46,4,3,0.8400000000000001,0.8571428571428572,0.8333333333333333,-0.023809523809523947
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,47,4,3,0.8400000000000001,0.8333333333333333,0.7857142857142857,-0.04761904761904756
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,48,4,4,0.8400000000000001,0.8095238095238095,0.8095238095238095,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,4,8,42,49,4,2,0.8400000000000001,0.8333333333333333,0.5952380952380952,-0.23809523809523803
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,0,4,4,0.8400000000000001,0.7941176470588236,0.7941176470588236,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,1,4,4,0.8400000000000001,0.8235294117647058,0.8235294117647058,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,2,4,4,0.8400000000000001,0.8529411764705882,0.8529411764705882,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,3,4,4,0.8400000000000001,0.8529411764705882,0.8529411764705882,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,4,4,4,0.8400000000000001,0.7647058823529411,0.7647058823529411,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,5,4,3,0.8400000000000001,0.8235294117647058,0.7941176470588236,-0.02941176470588225
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,6,4,3,0.8400000000000001,0.8823529411764706,0.8529411764705882,-0.02941176470588236
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,7,4,4,0.8400000000000001,0.8235294117647058,0.8235294117647058,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,8,4,3,0.8400000000000001,0.8235294117647058,0.7647058823529411,-0.05882352941176472
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,9,4,3,0.8400000000000001,0.8529411764705882,0.7941176470588236,-0.05882352941176461
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,10,4,3,0.8400000000000001,0.8823529411764706,0.8529411764705883,-0.02941176470588225
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,11,4,3,0.8400000000000001,0.8235294117647058,0.7647058823529411,-0.05882352941176472
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,12,4,4,0.8400000000000001,0.8235294117647058,0.8235294117647058,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,13,4,4,0.8400000000000001,0.7941176470588236,0.7941176470588236,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,14,4,3,0.8400000000000001,0.8529411764705882,0.8235294117647058,-0.02941176470588236
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,15,4,3,0.8400000000000001,0.8529411764705882,0.8235294117647058,-0.02941176470588236
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,16,4,3,0.8400000000000001,0.9117647058823529,0.8823529411764706,-0.02941176470588236
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,8,16,34,17,4,4,0.8400000000000001,0.8235294117647058,0.8235294117647058,0.0
